generated_question,source_chunk_text,source_metadata
Does every finite multiset of k-tuples of atoms containing at least f(k) elements always contain two compatible k-tuples?,"type admit the same equalities between their coordinates.
Two tuples α = ⟨a1,...,a k⟩and β = ⟨b1,...,b k⟩we call
compatible if they have the same equality type, and for every
coordinate i∈{1,...,k }one of two conditions holds: either
(1) ai = bi; or (2) ai ̸= bi and both ai and bi do not appear
in the other tuple: ai /∈{b1,...,b k}, bi /∈{a1,...,a k}. In
particular, two equal k-tuples are always compatible.
Lemma 11. For every k∈N there is some l= f(k) ∈N such
that every ﬁnite multiset of k-tuples of atoms A: ATOMS k →
N of size at least l contains two compatible k-tuples.
Proof. Let k ∈N be ﬁxed. If A contains two equal tuples,
they are compatible. Thus we can assume A to be a set. We
take l= f(k) large enough to satisfy the constraint (9) below.
The number of different equality types Ek is ﬁnite and equal
to the number of partitions of the coordinates set {1,...,k }
(the kth Bell number). By the pigeonhole principle, for l= |A|
large enough, there is a subset A′⊆Aof size l′= |A′|= l","{'producer': 'pdfTeX-1.40.21', 'creator': 'LaTeX with hyperref', 'creationdate': '2021-04-27T01:30:41+00:00', 'author': '', 'keywords': '', 'moddate': '2021-04-27T01:30:41+00:00', 'ptex.fullbanner': 'This is pdfTeX, Version 3.14159265-2.6-1.40.21 (TeX Live 2020) kpathsea version 6.3.2', 'subject': '', 'title': '', 'trapped': '/False', 'source': ""https://arxiv.org/pdf/2104.12018v1_Parikh's_theorem_for_infinite_alphabets"", 'total_pages': 17, 'page': 5, 'page_label': '6'}"
Is a deferrable transition in an automaton guaranteed to have the FEC property?,"(q0,G) ⊩∗
A (q,H) ⊩δ (q′,H′) and (q,H) ⊩δ (q′,H′′) where δ∈∆.3
By the discussion above, the recognition process using an automaton with the TS property
and the FEC property will never run into a dead end when applied to a valid graph. It remains
to show how the FEC property can be checked for a given automaton. We present a sufficient
condition that is easy to test. Thus, an automaton is guaranteed to have the FEC property if
it passes the test, but the converse is not necessarily true.
Consider a situation during the recognition of a valid graph when a transition has been
selected for the next move, and there are several edges one can choose from. All the edges that
are not being chosen now must be read later during the recognition process. This is only possible
for certain transitions. Let us call these transitionsdeferrable because one edge can be read now
whereas reading of the others is deferred:
A transitionδ∈∆ is calleddeferrable if and only if there are move sequences","{'producer': 'pdfTeX-1.40.25', 'creator': 'LaTeX with hyperref', 'creationdate': '2025-03-27T00:44:55+00:00', 'author': '', 'title': '', 'subject': '', 'keywords': '', 'moddate': '2025-03-27T00:44:55+00:00', 'trapped': '/False', 'ptex.fullbanner': 'This is pdfTeX, Version 3.141592653-2.6-1.40.25 (TeX Live 2023) kpathsea version 6.3.5', 'source': 'https://arxiv.org/pdf/2404.15052v2_Finite_Automata_for_Efficient_Graph_Recognition', 'total_pages': 23, 'page': 17, 'page_label': '151'}"
What is the bound on the entropy of a random variable X over Zq with weight 1 - ε on a particular symbol?,"(
1 − ε, ε
q − 1, ε
q − 1,... , ε
q − 1
)
.
Moreover,
H
(
1 − ε, ε
q − 1, ε
q − 1,... , ε
q − 1
)
= 1
lgq
(
−(1 − ε)lg(1 − ε) + (q − 1) ·
( ε
q − 1 lgq − 1
ε
))
= −(1 − ε)lg(1 − ε)
lgq +
ε lg
(
q−1
ε
)
lgq .
By Lemma 17 (and the remark following it) and Fact 18, the above quantity is bounded from above by
1
6 ε lg(1/ε)
lgq +
5
4 ε lg(1/ε)
lgq = 17ε lg(1/ε)
12lgq ,
as desired.
Remark 4. Lemmas 20 and 21 show that for sufﬁciently smallε, a random variableX overZq having weight
1 − ε on a particular symbol inZq has entropyΘ (ε lg(1/ε)/lgq). This allows us to prove Lemma 22.
Therefore, the constant 17/12 in Lemma 21 is not so critical except that it is close enoughto 1 for our
purposes.
Lemma 22.Let X,Y be random variables taking values inZq such that H(X ) ≥ H (Y ), and assume0 <
ε,ε′ ≤ min{ε1,ε2}, whereε1 = 1
500 and ε2 = 1
(q−1)4 . Suppose that X has mass1 − ε on one symbol, while Y
24","{'producer': 'dvips + GPL Ghostscript GIT PRERELEASE 9.22', 'creator': 'LaTeX with hyperref package', 'creationdate': '2018-08-13T19:26:04-04:00', 'moddate': '2018-08-13T19:26:04-04:00', 'title': '', 'subject': '', 'author': '', 'keywords': '', 'source': 'https://arxiv.org/pdf/1411.6993v1_An_Entropy_Sumset_Inequality_and_Polynomially_Fast', 'total_pages': 33, 'page': 23, 'page_label': '24'}"
Does the performance of hybrid AI with DRL for surveillance applications depend on the fidelity to the mission of the training scenarios?,"Figure 17. Target acquisition time when modifying the number of UAVs. 5. Conclusions The system proposed in this paper uses hybrid AI incorporating DRL algorithms to obtain policies that may solve the whole surveillance problem (search, tracking, collision avoidance), taking into account obstacles in the environment, while other approaches in the literature using RL tend to neglect this aspect. In the current state of development,  the performance of hybrid AI with DRL for the surveillance application seems correct, similar to that of traditional control methods in standard circumstances. This performance strongly depends on the fidelity to the mission of the training scenarios. A great effort is needed in the development of representative training situations. The creation of adequate action policies through reinforcement learning requires the careful design of the reward functions, which requires an in-depth study of each scenario and mission type. There is no clear method of","{'producer': 'macOS Versión 14.2.1 (Compilación 23C71) Quartz PDFContext', 'creator': 'Word', 'creationdate': ""D:20250113113653Z00'00'"", 'title': '6-Application-ofDL-sensors-23-08766-v2-2', 'author': 'Ana M. Bernardos', 'moddate': ""D:20250113113653Z00'00'"", 'source': 'https://arxiv.org/pdf/2501.08655v1_Application_of_Deep_Reinforcement_Learning_to_UAV_', 'total_pages': 34, 'page': 29, 'page_label': '30'}"
What is the total number of subsets that can be identified by considering the relationship among the K subsets Mk?,"≥N −M1 + 2N −M (51)
where (49) is obtained due to Lemma 2 and Lemma 3.
The union of the inequalities derived above cover all the regimes speciﬁed in Theorem 1. This completes the entire converse
proof of Theorem 1. In addition, observations of the 4 inequalities reveal that each inequality is a valid lower bound in every
regime, but they are not simultaneously active.
V. A LGORITHM OF THE ACHIEVABILITY FOR THE GENERAL K SERVER NODES
As we introduced earlier, due to the difﬁculties of seeking information theoretic result for K >3, we provide an algorithm
to investigate the achievability of the communication load.
Before presenting the algorithm, we ﬁrst summarize the main idea behind our algorithm. Speciﬁcally, given a ﬁle allocation
M= {Mk}K
k=1, we can identify a total of 2K −1 subsets (similar to 7 subsets deﬁned for the case K = 3) by considering
the relationship among the K subsets M1,··· ,MK. Thus, we decompose the system into up to K parallel subsystems","{'producer': 'pdfTeX-1.40.17', 'creator': 'LaTeX with hyperref package', 'creationdate': '2017-09-04T00:24:03+00:00', 'author': '', 'keywords': '', 'moddate': '2017-09-04T00:24:03+00:00', 'ptex.fullbanner': 'This is pdfTeX, Version 3.14159265-2.6-1.40.17 (TeX Live 2016) kpathsea version 6.2.2', 'subject': '', 'title': '', 'trapped': '/False', 'source': 'https://arxiv.org/pdf/1709.00196v1_On_Heterogeneous_Coded_Distributed_Computing', 'total_pages': 14, 'page': 9, 'page_label': '10'}"
What are some common graph representations used in native graph stores?,"non-graph data models.
Native graph stores may be further subdivided into what graph representations they use.
Graph data may be laid out in several ways, the most common ones being the AM ( adjacency
matrix), CSR (compressed sparse row) format (commonly used for sparse graphs), AL ( adjacency
lists), and EL(edge lists). See [1, §2.4] and [4, §2.2] for a full overview of these representations.
2.3 Graph Query Patterns and Languages
There are several graph query languages in existence; a non-exhaustive list includes SPARQL,
Cypher, Gremlin, GSQL. At the moment, only SPARQL is standardized by a major institution. 4
SPARQL 1.1 5 is a declarative language (a SQL-like style), so users can focus on specification
and the query engine is responsible for optimal execution. The query language is primarily
intended for pattern (subgraph) matching rather than path traversal and it is possible to bind
variables to generate pattern solutions. Property paths 6 adds the ability to match connectivity","{'producer': 'pdfTeX-1.40.25', 'creator': 'LaTeX with hyperref', 'creationdate': '2024-12-25T01:19:55+00:00', 'author': '', 'keywords': '', 'moddate': '2024-12-25T01:19:55+00:00', 'ptex.fullbanner': 'This is pdfTeX, Version 3.141592653-2.6-1.40.25 (TeX Live 2023) kpathsea version 6.3.5', 'subject': '', 'title': '', 'trapped': '/False', 'source': 'https://arxiv.org/pdf/2412.18143v1_NoSQL_Graph_Databases:_an_overview', 'total_pages': 29, 'page': 5, 'page_label': '4'}"
Is a relation defined as an associative array where each row corresponds to a unique tuple in the sequence?,"(K1 ×K3) ×(K2 ×K4) →V
deﬁned by
C((k1,k3),(k2,k4)) = A(k1,k2) ⊗B(k3,k4)
The array Kronecker product allows associative arrays opera-
tions to handle dimensions higher than 2 dimensions.
III. R ELATIONS AS ASSOCIATIVE ARRAYS
Motivated by the deﬁnition of a relation as a multiset
(sequence) of tuples, deﬁne a relation to be an associative
array with the intuition that the rows of an associative array are
the relevant tuples which are indexed by the column indices.
The row indices are only meant to differentiate the rows. In
practice, the sequence number identifying the distinct rows in
an SQL table serve a similar purpose.
Deﬁnition III.1 (Row and Row Equality) . If
A : K1 ×K2 →V
is an associative array with i∈K1, then the i-th row is the
tuple
A(i,:) : K2 →V
sending jto A(i,j). Such a row is non-zero if it not identically
zero. If
B : K3 ×K4 →V
and i′∈K3, then the i-th row of A is equal to the i′-th row of
B if A(i,j) and B(i′,j) are both deﬁned and equal whenever","{'producer': 'pdfTeX-1.40.17', 'creator': 'LaTeX with hyperref package', 'creationdate': '2017-12-05T03:21:54+00:00', 'author': '', 'keywords': '', 'moddate': '2017-12-05T03:21:54+00:00', 'ptex.fullbanner': 'This is pdfTeX, Version 3.14159265-2.6-1.40.17 (TeX Live 2016) kpathsea version 6.2.2', 'subject': '', 'title': '', 'trapped': '/False', 'source': 'https://arxiv.org/pdf/1712.00802v1_Polystore_Mathematics_of_Relational_Algebra', 'total_pages': 10, 'page': 3, 'page_label': '4'}"
Can a codeword with an average length equal to the entropy be considered optimal for data compression?,"sical information theory. In that work it was considered a
D-ary alphabet as well as a collection of uncorrelated ran-
dom sources of letters (whose probabilities depend only
on thek letters that immediately precede them) with
the aim to examine to what extent could one compress
Nsymbols emitted from a particular source. Shannon
found that any process of data compression results lim-
ited by the entropy itself such that a codeword whose
average length attains the entropy can be regarded as
optimal. In other words, this result led to quantify the
average amount of information (absence of redundancy)
by simply measuring the entropy.
Nevertheless, the entropy as an information measure
may have diﬀerent deﬁnitions in its functional form and
conceptual purport. Although, in general, we can clas-
sify them into two diﬀerent groups: extensive and non-
extensive entropies. The class of non-extensive entropies
is typically related to statistical systems out of equilib-","{'producer': 'dvips + GPL Ghostscript GIT PRERELEASE 9.22', 'creator': 'LaTeX with hyperref', 'creationdate': '2022-02-28T16:47:31-05:00', 'moddate': '2022-02-28T16:47:31-05:00', 'title': '', 'subject': '', 'author': '', 'keywords': '', 'source': 'https://arxiv.org/pdf/2103.11759v1_On_how_generalised_entropies_without_parameters_im', 'total_pages': 8, 'page': 0, 'page_label': '1'}"
Does the ANNIS3 architecture improve corpus query and visualization capabilities compared to existing architectures?,"Andrea Horbach, Ronja Laarmann-Quante,
Anaïs Tack, Victoria Yaneva, and Zheng
Yuan, editors. 2024. Proceedings of the 19th
Workshop on Innovative Use of NLP for
Building Educational Applications (BEA 2024).
Association for Computational Linguistics,
Mexico City, Mexico.
Krause, Thomas and Amir Zeldes. 2016.
ANNIS3: A new architecture for generic
corpus query and visualization. Digital
Scholarship in the Humanities, 31(1):118–139.
Kulick, Seth, Neville Ryant, and Beatrice
Santorini. 2022. Parsing Early Modern
English for linguistic search. Proceedings of
the Society for Computation in Linguistics,
5:143–157.
Lakoff, George. 1978. Some remarks on AI
and linguistics. Cognitive Science,
2(3):267–275.
van der Lee, Chris, Albert Gatt, Emiel van
Miltenburg, Sander Wubben, and Emiel
Krahmer. 2019. Best practices for the
human evaluation of automatically
generated text. In Proceedings of the 12th
International Conference on Natural Language
Generation, pages 355–368, Association for","{'producer': 'pdfTeX-1.40.25', 'creator': 'LaTeX with hyperref', 'creationdate': '2025-03-11T02:15:12+00:00', 'author': '', 'keywords': '', 'moddate': '2025-03-11T02:15:12+00:00', 'ptex.fullbanner': 'This is pdfTeX, Version 3.141592653-2.6-1.40.25 (TeX Live 2023) kpathsea version 6.3.5', 'subject': '', 'title': '', 'trapped': '/False', 'source': 'https://arxiv.org/pdf/2405.05966v4_Natural_Language_Processing_RELIES_on_Linguistics', 'total_pages': 23, 'page': 16, 'page_label': '17'}"
Can a rate function for 1-qubit channels be found without entanglement assistance?,"The extra factor drops because 1-qubit channels can be simulated with 2
bit classical channels in the presence of entanglement using the teleportation
protocol.
Remark 1 : In Eq. (11) the Quantum Reverse Shannon
Theorem is used, which in addition uses shared entangle-
ment (“entanglement assistance”) to generate a protocol that
achieves the rate. However, the requirements for the Quantum
Reverse Shannon Theorem are much more stringent than those
of the Bottleneck method. Therefore, it might be possible to
ﬁnd a rate function without entanglement assistance. This is
still an open problem.
Remark 2 : The systems XY and XX′ are understood
to be in separate setups; the states ˜ρ˜XY and ˜τX′˜X are not
partial traces of a common parent state, but they involve an
identical channel N (“two separate experiments using the
same apparatus”). The QRST applies only to the system XX′.
To prove Eq. (11), these two setups need to be connected,
which is done in Lemma 1 in Appendix A.","{'producer': 'pdfTeX-1.40.17', 'creator': 'LaTeX with hyperref package', 'creationdate': '2019-02-06T01:41:00+00:00', 'author': '', 'keywords': '', 'moddate': '2019-02-06T01:41:00+00:00', 'ptex.fullbanner': 'This is pdfTeX, Version 3.14159265-2.6-1.40.17 (TeX Live 2016) kpathsea version 6.2.2', 'subject': '', 'title': '', 'trapped': '/False', 'source': 'https://arxiv.org/pdf/1704.02903v3_Quantum_Rate-Distortion_Coding_of_Relevant_Informa', 'total_pages': 11, 'page': 3, 'page_label': '4'}"
Can the syntax of RefHL be parsed into a valid configuration for StackLang?,"lows a diﬀerent approach.
Languages. In this case study, we explore this problem
using two simply-typed functional source languages with
dynamically allocated mutable references,
RefHL and RefLL
(for “higher-level” and “lower-level”). RefHL has boolean,
sum, and product types, whereas RefLL has arrays ([e1, . . . , en] :
[/u1D749 ]). Their syntax is given in Fig. 1 and their static semantics
— which are entirely standard — are elided (see [ 42]). These
two languages are compiled (Fig. 3—note that we write /u1D452+
to indicate /u1D452′, where /u1D452 ⇝/u1D452′) into an untyped stack-based
language called StackLang (inspired by [ 29]), whose syntax
and small-step operational semantics — a relation on conﬁg-
urations⟨
H; S; P⟩comprised of a heap, stack, and program —
are given in Fig. 2; here we describe a few highlights. First,
RefHL Type /u1D70F ::= unit | bool | /u1D70F+/u1D70F | /u1D70F×/u1D70F | /u1D70F→/u1D70F | ref/u1D70F
Expr. e ::= () | true | false | x | inl e| inr e","{'producer': 'GPL Ghostscript GIT PRERELEASE 9.22', 'creator': 'dvips(k) 2020.1 Copyright 2020 Radical Eye Software', 'creationdate': '2022-04-11T22:51:23-04:00', 'moddate': '2022-04-11T22:51:23-04:00', 'title': 'arXiv:2202.13158v2  [cs.PL]  11 Apr 2022', 'source': 'https://arxiv.org/pdf/2202.13158v2_Semantic_Soundness_for_Language_Interoperability', 'total_pages': 17, 'page': 3, 'page_label': '4'}"
Does the use of reinforced evol-instruct improve mathematical reasoning capabilities in large language models?,"Qingwei Lin, Shifeng Chen, and Dongmei Zhang. Wizardmath: Empowering mathematical
reasoning for large language models via reinforced evol-instruct. arXiv preprint arXiv:2308.09583,
2023.
MAA. American invitational mathematics examination - aime. in american invitational
mathematics examination, 2 2024. URL https://maa.org/math-competitions/
american-invitational-mathematics-examination-aime .
14","{'producer': 'pdfTeX-1.40.25', 'creator': 'LaTeX with hyperref', 'creationdate': '2025-03-13T00:13:32+00:00', 'author': '', 'keywords': '', 'moddate': '2025-03-13T00:13:32+00:00', 'ptex.fullbanner': 'This is pdfTeX, Version 3.141592653-2.6-1.40.25 (TeX Live 2023) kpathsea version 6.3.5', 'subject': '', 'title': '', 'trapped': '/False', 'source': 'https://arxiv.org/pdf/2503.05641v2_Symbolic_Mixture-of-Experts:_Adaptive_Skill-based_', 'total_pages': 22, 'page': 13, 'page_label': '14'}"
What is the value of λiµi for i = 1 to p?,"2.3. APPLICATIONS 31
Introduce the eigenvalue decompositions of A and B in the form A = VΛVT and
B= WMW T. For F(U) to be equal to its upper-bound, we know that we must arrange
UBUT to take the form
UBUT = V
 
M 0
0 0
!
VT.
Use, as before, the notationV⌈dp⌉to denote the matrix formed with thepfirst columns
of V. Take U= V⌈dp⌉WT, which satisfies UTU= IdRp. We then have
V⌈dp⌉WTBWVT
⌈dp⌉= V⌈dp⌉MVT
⌈dp⌉= V
 
M 0
0 0 .
!
VT,
which shows that U is optimal. We summarize this discussion in the next theorem.
Theorem 2.3 Let A ∈Sd(R) and B ∈Sp(R) be symmetric matrices, with p ≤d. Let
eigenvalue decompositions of Aand Bbe given by A= VΛVT and B= WMW T, where
the diagonal elements of Λ(resp. M) are λ1 ≥···≥ λd (resp. µ1 ≥···≥ µp).
Define F(U) = trace(AUBUT), for U∈Md,p(R). Then,
max
n
F(U) : UTU= IdRp
o
=
pX
i=1
λiµi.
This maximum is attained at
U= V⌈d,p⌉WT.
The following corollary applies theorem 2.3 with B= diag(µ1,...,µ p).","{'producer': 'pdfTeX-1.40.25', 'creator': 'LaTeX with hyperref', 'creationdate': '2024-09-05T00:43:39+00:00', 'author': '', 'keywords': '', 'moddate': '2024-09-05T00:43:39+00:00', 'ptex.fullbanner': 'This is pdfTeX, Version 3.141592653-2.6-1.40.25 (TeX Live 2023) kpathsea version 6.3.5', 'subject': '', 'title': '', 'trapped': '/False', 'source': 'https://arxiv.org/pdf/2409.02668v1_Introduction_to_Machine_Learning', 'total_pages': 649, 'page': 30, 'page_label': '31'}"
What is the formula for calculating mutual information between two discrete random variables?,"other words, it quantiﬁes the amount of surprise or informat ion content associated with the outcomes of /u1D44B. For a
discrete random variable /u1D44Bwith probability mass function /u1D45D(/u1D465), the entropy /u1D43B(/u1D44B)is deﬁned as:
/u1D43B(/u1D44B)= −
/summationdisplay.1
/u1D465∈/u1D44B
/u1D45D(/u1D465)log2 /u1D45D(/u1D465) (4)
The base-2 logarithm yields entropy in bits. If the outcomes are all equally likely, the entropy is maximized, indicat-
ing the highest uncertainty.
2.2.2 Mutual Information.Mutual information measures the amount of information shar ed between two random
variables. Intuitively, it quantiﬁes how much knowing the o utcome of one variable reduces the uncertainty about the
other. For two discrete random variables /u1D44Band /u1D44Cwith joint probability mass function /u1D45D(/u1D465,/u1D466.alt)and marginal probability
mass functions /u1D45D(/u1D465)and /u1D45D(/u1D466.alt), the mutual information /u1D43C(/u1D44B;/u1D44C)is given by:","{'producer': 'GPL Ghostscript 10.01.2', 'creator': 'dvips(k) 2023.1 (TeX Live 2023)  Copyright 2023 Radical Eye Software', 'creationdate': '2024-03-18T23:50:33-04:00', 'moddate': '2024-03-18T23:50:33-04:00', 'title': 'arXiv:2401.08668v3  [cs.IT]  15 Mar 2024', 'source': 'https://arxiv.org/pdf/2401.08668v3_Thermodynamic_Perspectives_on_Computational_Comple', 'total_pages': 48, 'page': 2, 'page_label': '3'}"
Does the proposed similarity-based conditioning method achieve fine-grained timbre control in sound synthesis?,"timbral variations across different sounds. In this research, we propose a novel similarity-based
conditioning method for sound synthesis, leveraging differentiable digital signal processing
(DDSP). This approach combines the use of latent space for learning and controlling audio
timbre with an intuitive guiding vector, normalized within the range [0,1], to encode categor-
ical acoustic information. By utilizing pre-trained audio representation models, our method
achieves expressive and fine-grained timbre control. To benchmark our approach, we intro-
duce two sound effect datasets–Footstep-set and Impact-set–designed to evaluate both con-
trollability and sound quality. Regression analysis demonstrates that the proposed similarity
score effectively controls timbre variations and enables creative applications such as timbre
interpolation between discrete classes. Our work provides a robust and versatile framework","{'producer': 'pdfTeX-1.40.25', 'creator': 'LaTeX with hyperref', 'creationdate': '2024-12-25T00:13:35+00:00', 'author': '', 'keywords': '', 'moddate': '2024-12-25T00:13:35+00:00', 'ptex.fullbanner': 'This is pdfTeX, Version 3.141592653-2.6-1.40.25 (TeX Live 2023) kpathsea version 6.3.5', 'subject': '', 'title': '', 'trapped': '/False', 'source': 'https://arxiv.org/pdf/2412.18710v1_Simi-SFX:_A_similarity-based_conditioning_method_f', 'total_pages': 14, 'page': 0, 'page_label': '1'}"
What computational complexity can be achieved by implementing the join bag computation step in linear time?,"4 Implementation
In this section, we give some details on our implementation of the algorithms
described in the previous section.
We have implemented the algorithms in Java. For each of the test gra phs,
we used the well known (and quite simple and eﬀective, see e.g., [8]) Greedy
Degree heuristic to ﬁnd a tree decomposition. These tree decompositions w ere
subsequently transformed into nice tree decompositions, using th e procedure
which was previously described in Section 2. The algorithms were exec uted on
the thus obtained nice tree decompositions.
The recursions for the diﬀerent types of nodes were implemented s uch that
we spend linear time per generated entry (before removing double e ntries, and
before the reduction step). For most types, this is trivial. The com putation for
join bags contains a step, where we are given two partitions, and mu st compute
the partition that is the closure of the combination of the two (i.e., th e ﬁnest","{'producer': 'dvips + GPL Ghostscript GIT PRERELEASE 9.22', 'creator': 'LaTeX with hyperref package', 'creationdate': '2018-09-14T06:06:11-04:00', 'moddate': '2018-09-14T06:06:11-04:00', 'title': '', 'subject': '', 'author': '', 'keywords': '', 'source': 'https://arxiv.org/pdf/1305.7448v1_Speeding-up_Dynamic_Programming_with_Representativ', 'total_pages': 18, 'page': 9, 'page_label': '10'}"
Does the use of patch-wise attention in Transformer models lead to improved performance compared to preceding models?,"researchers always keep an eye on it. LogSparse Transformer
[23] and Informer [15] discover the sparsity of query-key
matching matrix and they force the elements of query to attach
to the partial elements of key for the sake of reducing the
complexity. Autoformer [24], FEDformer [25] and ETSformer
[26] combine the TSFT with seasonal-trend decomposition and
signal processing method, e.g., Fourier Analysis, in attention
mechanism to enhance their interpretability. Patch-wise atten-
tion is more popular and proven to be more useful recently.
TSFTs with patch-wise attention, including Triformer [10],
Crossformer [8] and PatchTST [16], achieve more promising
performances than preceding models. However, whichever
TSFT always emphasizes that the modified architecture is
intended for more efficient or effective feature extraction for
input sequence. Hardly ever can statements involved with the
profits of decoder be found. Indeed, their decoders seem to","{'producer': 'pdfTeX-1.40.25', 'creator': 'LaTeX with hyperref', 'creationdate': '2023-12-12T02:44:07+00:00', 'author': '', 'keywords': '', 'moddate': '2023-12-12T02:44:07+00:00', 'ptex.fullbanner': 'This is pdfTeX, Version 3.141592653-2.6-1.40.25 (TeX Live 2023) kpathsea version 6.3.5', 'subject': '', 'title': '', 'trapped': '/False', 'source': 'https://arxiv.org/pdf/2312.05792v1_Take_an_Irregular_Route:_Enhance_the_Decoder_of_Ti', 'total_pages': 13, 'page': 1, 'page_label': '2'}"
Do the endpoints of an inverse path always belong to a supporting cycle?,"концевые  вершины  такого  обратного  пути  не  всегда  принадлежат  опорному  циклу [14]. 
Очевидно , что  обратные  ребра  являются  частным  случаем  обратных  путей .  
Как  известно , матрица  фундаментальных  циклов  состоит  из  двух  подматриц : единичной  
подматрицы  и подматрицы  π состоящей  только  из  ветвей  дерева .","{'producer': 'GPL Ghostscript 9.52', 'creator': 'PDFCreator Free 4.2.0', 'creationdate': '2024-03-20T11:18:14+03:00', 'moddate': '2024-03-20T11:18:14+03:00', 'title': 'Рисунок1', 'author': 'Serg', 'subject': '', 'keywords': '', 'source': 'https://arxiv.org/pdf/2407.21564v1_Algorithmic_methods_of_finite_discrete_structures.', 'total_pages': 169, 'page': 145, 'page_label': '146'}"
Was the micro-force sensing system in the steady-hand eye robot designed specifically for vitreoretinal surgery?,"Accepted for ISMR 2019
REFERENCES
[1] A. ¨Uneri, M. A. Balicki, J. Handa, P. Gehlbach, R. H. Taylor, and
I. Iordachita, “New steady-hand eye robot with micro-force sensing
for vitreoretinal surgery,” inBiomedical Robotics and Biomechatronics
(BioRob), 2010 3rd IEEE RAS and EMBS International Conference
on. IEEE, 2010, pp. 814–819.
[2] A. Gijbels, N. Wouters, P. Stalmans, H. Van Brussel, D. Reynaerts,
and E. Vander Poorten, “Design and realisation of a novel robotic
manipulator for retinal surgery,” in Intelligent Robots and Systems
(IROS), 2013 IEEE/RSJ International Conference on. IEEE, 2013,
pp. 3598–3603.
[3] K. Willekens, A. Gijbels, L. Schoevaerdts, L. Esteveny, T. Janssens,
B. Jonckx, J. H. Feyen, C. Meers, D. Reynaerts, E. Vander Poorten
et al., “Robot-assisted retinal vein cannulation in an in vivo porcine
retinal vein occlusion model,” Acta ophthalmologica, vol. 95, no. 3,
pp. 270–275, 2017.
[4] M. A. Nasseri, M. Eder, S. Nair, E. Dean, M. Maier, D. Zapp,","{'producer': 'pdfTeX-1.40.17', 'creator': 'LaTeX with hyperref package', 'creationdate': '2019-01-11T01:43:52+00:00', 'author': '', 'keywords': '', 'moddate': '2019-01-11T01:43:52+00:00', 'ptex.fullbanner': 'This is pdfTeX, Version 3.14159265-2.6-1.40.17 (TeX Live 2016) kpathsea version 6.2.2', 'subject': '', 'title': '', 'trapped': '/False', 'source': 'https://arxiv.org/pdf/1901.03307v1_Sclera_Force_Control_in_Robot-assisted_Eye_Surgery', 'total_pages': 7, 'page': 6, 'page_label': '7'}"
What specific benefits can be gained from integrating sensor networks with distributed intelligence in HPC problems?,"distributed algorithms like reconfigurable distributed algorithms and parallel deep 
learning as well as new concepts for Big data treatment. 
The introduction of sensor networks that collect usage or elements o f context will 
permit to deal with the inherent complexity of the physical world that leads to many 
HPC problems. I n particular , sensor pr ocessing, environment modeling, a ctuator 
networks with distributed intelligence will facilitate treatment. 
IoT applications and Smart Earth can also take benefit of devices like GPU, MIC, 
FPGA, and concepts like cloud and volunteer computing that revisit di stributed 
computing. Also, new para llel / distributed programming paradigms are needed t o 
facilitate programm ing like in the programmable matter and blinky blocks contexts  
[13], [19]. 
Designing algorithms for the DILI dis tributed autonomous robot was an 
opportunity to address  several issues  like application deployment, cooperation,","{'producer': 'Adobe PDF Library 10.0', 'creator': 'Acrobat PDFMaker 10.1 for Word', 'creationdate': '2018-03-30T09:54:30+02:00', 'author': 'Julien', 'company': 'VTEX', 'moddate': '2018-03-30T09:54:36+02:00', 'sourcemodified': 'D:20180330075239', 'title': '1', 'source': 'https://arxiv.org/pdf/1904.04034v1_Smart_systems,_the_fourth_industrial_revolution_an', 'total_pages': 9, 'page': 6, 'page_label': '7'}"
What is the sampling rate of each sensor included in the system?,"a video format and as time-variant feature data, at a sampling
rate of 60 Hz. The acquired gaze information is mainly used
to track what the user exactly stares at inside a virtual environ-
ment. Other important data include the dilation and moving
speed of the pupil which can be used to infer several emotions
such as stress or fear [39]. The speciﬁcations of each sensor
are described in Table 1.
Time Synchronization
When analyzing biometric data, it is very important to know
the exact times at which the stimuli occur, and to match them to
the corresponding bio-signals [8]. Each sensor that is included
in our system has a different sampling rate, and events that
represent the change of contents or the user’s expected reaction
always happen arbitrarily. Therefore, in this multi-modal
sensing environment, it is critical to synchronize the acquired
data according to the events. Our system has realized it well
such that the output brainwave and eye movement data are","{'producer': 'pdfTeX-1.40.17', 'creator': 'LaTeX with hyperref package', 'creationdate': '2019-12-04T01:36:05+00:00', 'author': '', 'keywords': '', 'moddate': '2019-12-04T01:36:05+00:00', 'ptex.fullbanner': 'This is pdfTeX, Version 3.14159265-2.6-1.40.17 (TeX Live 2016) kpathsea version 6.2.2', 'subject': '', 'title': '', 'trapped': '/False', 'source': 'https://arxiv.org/pdf/1912.01177v1_A_New_Terrain_in_HCI:_Emotion_Recognition_Interfac', 'total_pages': 11, 'page': 2, 'page_label': '3'}"
